@relation vehicledata

@attribute wheels numeric
@attribute chassis numeric
@attribute pax numeric
@attribute vtype {Bus,Car,Truck,Bike}

@data
4,3,2,Car
1,1,1,Bike
4,4,4,Car
6,19,10,Bus
1,1,1,Bike
1,1,1,Bike
5,15,13,Bus
1,1,1,Bike
1,1,1,Bike
1,1,1,Bike
5,18,31,Bus
5,4,4,Car
5,3,1,Car
1,1,1,Bike
1,1,1,Bike
5,3,4,Car
4,18,18,Bus
1,1,1,Bike
5,23,24,Bus
1,1,1,Bike
5,4,2,Car
5,23,20,Bus
7,14,21,Bus
4,2,3,Car
5,21,30,Bus
6,21,21,Bus
5,3,1,Car
4,22,30,Bus
1,1,1,Bike
8,19,14,Bus
8,20,12,Bus
4,3,3,Car
6,18,32,Bus
5,2,3,Car
1,1,1,Bike
5,3,4,Car
7,16,12,Bus
5,2,3,Car
4,2,4,Car
1,1,1,Bike
5,18,10,Bus
1,1,1,Bike
5,1,2,Car
8,20,20,Bus
1,1,1,Bike
1,1,1,Bike
1,1,1,Bike
1,1,1,Bike
5,4,1,Car
4,1,3,Car
1,1,1,Bike
4,23,29,Bus
9,23,14,Bus
1,1,1,Bike
6,14,39,Bus
4,13,26,Bus
4,1,4,Car
1,1,1,Bike
1,1,1,Bike
4,2,3,Car
5,3,3,Car
5,3,2,Car
1,1,1,Bike
5,4,1,Car
4,3,1,Car
1,1,1,Bike
8,20,23,Bus
5,1,4,Car
6,20,22,Bus
1,1,1,Bike
7,22,15,Bus
5,1,2,Car
4,18,33,Bus
1,1,1,Bike
4,16,17,Bus
6,15,25,Bus
5,3,1,Car
8,19,26,Bus
4,15,39,Bus
1,1,1,Bike
5,4,4,Car
1,1,1,Bike
4,4,3,Car
6,15,13,Bus
1,1,1,Bike
8,17,29,Bus
4,1,1,Car
1,1,1,Bike
4,4,1,Car
1,1,1,Bike
5,4,2,Car
7,12,17,Bus
1,1,1,Bike
5,4,3,Car
1,1,1,Bike
5,3,4,Car
8,16,21,Bus
5,1,1,Car
1,1,1,Bike
1,1,1,Bike
